what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1771687741125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1771687741125
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1771687787747
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1771687787804
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1771687798158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687801442
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1771687803103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687803125
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1771687803133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1771687803133
executed,command,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.commands.runCodanCommand",1771687807457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687807742
error,log,,,"Internal Error",1771687807973
error,log,,,"Internal Error",1771687807973
error,log,,,"Internal Error",1771687807973
error,log,,,"Internal Error",1771687807973
error,log,,,"Internal Error",1771687807973
error,log,,,"Internal Error",1771687807973
error,log,,,"Internal Error",1771687807973
error,log,,,"Internal Error",1771687807973
error,log,,,"Internal Error",1771687807973
error,log,,,"Internal Error",1771687807989
error,log,,,"Internal Error",1771687808005
error,log,,,"Internal Error",1771687808005
error,log,,,"Internal Error",1771687808005
error,log,,,"Internal Error",1771687808005
error,log,,,"Internal Error",1771687808005
error,log,,,"Internal Error",1771687808005
error,log,,,"Internal Error",1771687808021
error,log,,,"Internal Error",1771687808021
error,log,,,"Internal Error",1771687808021
error,log,,,"Internal Error",1771687808021
error,log,,,"Internal Error",1771687808021
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808036
error,log,,,"Internal Error",1771687808180
error,log,,,"Internal Error",1771687808180
error,log,,,"Internal Error",1771687808189
error,log,,,"Internal Error",1771687808189
error,log,,,"Internal Error",1771687808189
error,log,,,"Internal Error",1771687808189
error,log,,,"Internal Error",1771687808191
error,log,,,"Internal Error",1771687808191
error,log,,,"Internal Error",1771687808191
error,log,,,"Internal Error",1771687808191
error,log,,,"Internal Error",1771687808231
error,log,,,"Internal Error",1771687808231
error,log,,,"Internal Error",1771687808233
error,log,,,"Internal Error",1771687808233
error,log,,,"Internal Error",1771687808233
error,log,,,"Internal Error",1771687808233
error,log,,,"Internal Error",1771687808235
error,log,,,"Internal Error",1771687808235
error,log,,,"Internal Error",1771687808235
error,log,,,"Internal Error",1771687808235
error,log,,,"Internal Error",1771687808267
error,log,,,"Internal Error",1771687808267
error,log,,,"Internal Error",1771687808270
error,log,,,"Internal Error",1771687808270
error,log,,,"Internal Error",1771687808270
error,log,,,"Internal Error",1771687808270
error,log,,,"Internal Error",1771687808273
error,log,,,"Internal Error",1771687808273
error,log,,,"Internal Error",1771687808273
error,log,,,"Internal Error",1771687808273
error,log,,,"Internal Error",1771687808322
error,log,,,"Internal Error",1771687808322
error,log,,,"Internal Error",1771687808322
error,log,,,"Internal Error",1771687808322
error,log,,,"Internal Error",1771687808322
error,log,,,"Internal Error",1771687808322
error,log,,,"Internal Error",1771687808322
error,log,,,"Internal Error",1771687808322
error,log,,,"Internal Error",1771687808322
error,log,,,"Internal Error",1771687808322
error,log,,,"Internal Error",1771687808368
error,log,,,"Internal Error",1771687808368
error,log,,,"Internal Error",1771687808368
error,log,,,"Internal Error",1771687808368
error,log,,,"Internal Error",1771687808368
error,log,,,"Internal Error",1771687808368
error,log,,,"Internal Error",1771687808368
error,log,,,"Internal Error",1771687808368
error,log,,,"Internal Error",1771687808368
error,log,,,"Internal Error",1771687808368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687809164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687813059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687816272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687821503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687840517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1771687840538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1771687840538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687840838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687844244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687848238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687863412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687863439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687900632
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1771687900662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687908885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687928888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687931675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687936239
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1771687938240
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1771687939732
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1771687957450
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1771687957644
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1771687957672
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1771687963911
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1771687964111
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1771687964151
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1771687965883
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1771687966059
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1771687966099
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1771687968173
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1771687968378
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1771687968427
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1771687990715
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1771687991546
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1771687991613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771687998124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688299185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688309863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688315135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1771688322296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688327343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688336109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688371335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688382787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1771688383900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688400254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688407042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1771688407953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688411093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688414701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1771688415624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688442236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688447744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1771688448625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688454445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688466413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1771688467148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688473681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688480847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688661242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688668289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1771688671397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688690894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1771688695015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1771688699533
