what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1769395725097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1769395736316
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1769395985009
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769395985189
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769395988414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396025924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396073293
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1769396075308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396086317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396128270
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1769396144527
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1769396144527
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1769396146253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396146364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396176492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396182094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396222226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396227331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396228998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396237846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396251040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396251087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396254662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396261274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396262626
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1769396263002
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769396264371
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1769396264529
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1769396264560
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=1, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1769396266799
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769396285639
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1769396290551
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1769396294802
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1769396298383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396305406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396324028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1769396324044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1769396324044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396324332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396327748
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769396342891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1769396345272
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769396349896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396352103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396353607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1769396357434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1769396358040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1769396368094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1769396368478
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1769396369868
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769396371271
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769396371334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1769396373199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1769396373584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1769396374765
