what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766916681130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766989153777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766989210391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766989217813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766989225303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766989232941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766989234579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766989255271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766989257932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766989265373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766992971887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766992994420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766993004811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766993009291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766993017794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766993023184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766993046428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766993049485
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766993059281
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766993062133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766993065935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766993071759
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1766993072184
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766993073984
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766993074280
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766993081419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766993131738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766993136556
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766993144190
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1766993166400
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766993166415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766993189819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766993254020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766993257164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766993631726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766993636245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766993743314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766993744691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766994332972
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766994336953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766994408497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766994599317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766994672602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766994673987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766994682410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766994720787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766994744902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766995942859
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766995944875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766995956914
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766996118526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766996118569
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766996118577
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1766996119464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1766996120134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766996120575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766996125247
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766996125247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766996128889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766996135743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766996136459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766996140067
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1766996142836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766996174201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766996180156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766996182634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766996186054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766996186340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766996326869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766996331335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766997002525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766997009882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766997057862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766997058492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766997426138
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1767579353345
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1767579353345
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1767579353345
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1767579353345
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1767579353345
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1767579353345
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1767579353345
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1767579353361
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1767579353361
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1767579353361
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1767579353361
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1767579353361
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1767579353365
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1767579353365
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1767579353367
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1767579353367
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1767579353367
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1767579353367
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1767579353367
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1767579353369
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1767579353369
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1767579353369
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1767579353369
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1767579353371
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1767579353371
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1767579353371
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1767579353371
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1767579353371
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1767579353371
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1767579353371
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1767579353371
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1767579353377
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1767579353377
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1767579353377
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1767579353379
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1767579353379
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1767579353456
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1767579353456
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1767579353456
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1767579353471
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1767579353471
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1767579353471
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1767579353471
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1767579353474
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1767579353474
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1767579353691
