what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error executing 'nios2-bsp-generate-files --bsp-dir . --settings settings.bsp', unexpected return code 1.\n\nError message:\n\nSEVERE: [Error] hal: <b>hal.sys_clk_timer</b> (high_resolution_timer) out of range. Valid ranges: [timer:timer, none:none]\r\nSEVERE: [Error] hal: <b>hal.sys_clk_timer</b> (high_resolution_timer) out of range. Valid ranges: [timer:timer, none:none]\r\nSEVERE: nios2-bsp-generate-files failed.\r\n",1766909143469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909145104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909154412
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766909155535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909155593
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1766909155598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1766909155598
error,log,,,"Error",1766909156560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909162766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909164115
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1766909164133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1766909164133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909166515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909185879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909189975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909197960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909221259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909223047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909250326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909252102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909256756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909264956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909272614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909284897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909285269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909288792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909341836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909343183
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1766909343849
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1766909343863
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766909345630
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1766909345941
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1766909345959
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766909358772
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766909371807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909374793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909380384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1766909380400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1766909380400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909637028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909638305
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1766909638321
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1766909638321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909640655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909641709
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1766909641709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1766909641709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909647597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909673089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909682002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909688913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909693641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909695253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909697335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909710706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1766909710706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1766909710706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909711024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909714446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909717027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909727516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909728223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909731739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909735199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909736878
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1766909737471
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766909739167
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766909739422
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766909744716
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766909968602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766909971663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766910860485
