what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1767600409449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767600409869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767600411986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767600448899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767600465146
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1767600466470
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767600466850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767600467933
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767600470483
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1767600470841
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767600483680
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1767600485984
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1767600496325
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1767600506978
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1767600508595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767600508869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767600523102
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767600526564
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1767600527134
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x10000040, /cygdrive/c/Users/DELL/Documents/advanced_embedded_systems/practical_2/software/crc_ttt/crc_ttt.elf] return code: 4, 'other error'",1767600539648
error,log,,,"Downloading ELF Process failed",1767600539648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767600539740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767600549796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767600553968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767600558166
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1767600558325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767600561835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767600568026
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1767600569638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767600585028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767600603817
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767600607303
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1767600607681
