what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766063670646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766063754159
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1766063770869
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1766063770874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766063774886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766063808159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766063808172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766063812279
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1766063812295
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1766064527758
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766064537457
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766064537556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766064620223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766064798789
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766064798840
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766064855933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766064864189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766064892530
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766064892552
executed,command,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.popupmenu.removefrombuild",1766064896222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766064896789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766064900419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766064918156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766064929230
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1766064936953
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1766064936953
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1766064939152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766064939264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766065036914
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1766065036936
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766065039051
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1766065039242
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1766065039257
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766065063985
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766065070866
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766065081139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1766065099451
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766065483113
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766065483402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1766065527629
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766065529769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766065568194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766065570943
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1766065571333
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766065573347
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766065573585
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766065582969
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766065712642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766065950477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766066151839
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766066151887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766066153279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1766066153315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766066160836
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766066162678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766066166424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1766066166459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766066170291
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766066170301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766066172029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766066177862
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766066178053
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766066178117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766066180274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766066205585
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1766066209329
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766066210528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766066211612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1766066212645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1766066213088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766066215652
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766066215747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766066216705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766066237375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1766066238876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1766066239629
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1766066259110
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1766066259373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1766066259584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1766066259822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1766066260040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1766066260266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1766066263025
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1766066263238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1766066263469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1766066272597
